dur,full_data,id,net_family,net_type,normalized,optimizer,pretrained,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc_auc,valid_acc,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc,x
185.07617378234863,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.8155834543228855,0.7646007151370681,0.4239942303010679,0.7908441704878599,0.7400430494787636,0.8838055805380609,0.5896968730784121,0.0,2.0209594705842253,0.0,0.0,0.4258410138262678,1.0
178.99992775917053,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.8473937427050418,0.8059988853422506,0.3571006686775637,0.8300486001371538,0.7833035550991123,0.9174785052970716,0.7691589423580587,0.6185458377239199,0.5547375579996304,0.9604955586722768,0.4561500888099467,0.9140687182697288,2.0
192.2140896320343,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.8697639992028924,0.8349686877723587,0.31253261348441497,0.856967255601795,0.814071270803731,0.9368357533886872,0.6876494568311735,0.4000174985782405,0.7136787987851655,0.9440429485855876,0.25377442273534634,0.8483003457527318,3.0
195.28694272041318,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.8853986961596493,0.8548538298455369,0.2793565056526403,0.8769103309514299,0.8338796584178613,0.9491318811990329,0.7233596756929104,0.7417784485874025,0.6007349361209122,0.6011024978466839,0.9684169626998224,0.9318584532180152,4.0
199.61827969551086,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.8967802545050816,0.8696721134698749,0.2561093769941043,0.8892270147893329,0.8509587653522038,0.9570573182697688,0.8614634812908515,0.8411044066556957,0.3114535557226824,0.7943948290324172,0.8936500888099467,0.946653348776036,5.0
176.55498003959656,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9035499758020896,0.8783657643426439,0.24114958208438106,0.8969921834900058,0.8604971792743491,0.9618944239639692,0.7764695165000342,0.6316105543670008,0.7074643779288021,0.9753100730265446,0.4670293072824157,0.9079648329777574,6.0
182.79378366470337,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9091923591539272,0.885575922803745,0.22873139965220976,0.9035781213398922,0.8682770360574555,0.9654543271191722,0.8904324853674646,0.868159272149297,0.26875360226708506,0.8573748308525034,0.8792184724689165,0.9548312893549,7.0
199.750741481781,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.914692401856122,0.8927664020955748,0.2160081949641877,0.9086273709973486,0.8774496700946807,0.9692024981178208,0.8301259422897356,0.8241341098248178,0.389425632604184,0.7163585686764766,0.9700821492007105,0.9662028706709996,8.0
207.52187585830688,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9187576508099184,0.8979291104832076,0.2077863778296138,0.9133946502896062,0.8829785737398179,0.9713532011532736,0.8643330524493841,0.8125963444175291,0.3478636428226471,0.937840389223731,0.7168627886323268,0.9476037670639226,9.0
188.2608516216278,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9223674096848578,0.90235955458484,0.20060974313019111,0.9189224666005484,0.8863831403609966,0.9730393066262591,0.8098339748115421,0.8078693051081454,0.4700663594991937,0.6899465492847037,0.9744116341030196,0.9623621032903618,10.0
198.80073046684262,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9254476613431264,0.9063965458080749,0.19257982253458186,0.9213742787797752,0.8918979755490215,0.975056436016551,0.8344075246532602,0.7521728756944681,0.3954316975593448,0.9744767287821248,0.6124555950266429,0.9633340440907274,11.0
184.957994222641,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9283172488399236,0.910012293793064,0.1855917879575872,0.924913188138376,0.8955839113124464,0.9767965547628706,0.9246168211528388,0.9071997308511832,0.19617439756984087,0.9165533650577838,0.898035079928952,0.97470520203071,12.0
179.46035432815552,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9300651920175363,0.9121883913954204,0.18098141568588466,0.9273234687054857,0.8975394268510573,0.9779010337350882,0.915484297068938,0.8915958285864516,0.21557758469896016,0.9410495159400628,0.8470803730017762,0.9724893832704328,13.0
178.3647255897522,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9330828137899622,0.9160002001186418,0.1756590559598205,0.9309373002498692,0.9015348686709528,0.9790492998617176,0.9160308820515156,0.8913511124208046,0.2128352691945247,0.9500596771153969,0.8394760213143873,0.9728358303392176,14.0
178.55964183807373,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9353374896803031,0.9188675605975096,0.17020903867135034,0.933410740203193,0.9047706138067838,0.9803103306854476,0.8660866792684871,0.8556913562067442,0.328878126998691,0.7669599648042235,0.9676398756660746,0.9724662905148864,15.0
166.66901779174802,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9367608961767302,0.9207972332156736,0.1669674558225601,0.9336263990513926,0.9083158649990856,0.9811265520119336,0.9013641850190166,0.8857708031122248,0.2445626549339639,0.8438615005779185,0.9320603907637656,0.970504936878501,16.0
168.15253376960752,full data,HCDEX-302,ResNet,ResNet18_96,normalized,Adam,not pretrained,0.9385885501181428,0.9230681445343148,0.1622336010719359,0.9361554375660074,0.9103417228232579,0.9820793815769876,0.919242068824159,0.9064231804507309,0.2067491215255579,0.8639702183318241,0.9532637655417406,0.9805471279055992,17.0
